day,event_type,event_name,event_url
 1 августа ,именины,Степан,http://www.calendarium.com.ua/imenini_stepan
 1 августа ,именины,Григорий,http://www.calendarium.com.ua/imenini_grigorii
 1 августа ,именины,Роман,http://www.calendarium.com.ua/imenini_roman
 1 августа ,исторические события,День открытия Центрального дома художника в Киеве (1977),http://www.calendarium.com.ua/den_otkrytiya_tsentralnogo_doma_hudozhnika_v_kieve_1977
 1 августа ,исторические события,День основания украинского общества «Просвита» (1924),http://www.calendarium.com.ua/den_osnovaniya_ukrainskogo_obshchestva_prosvita_1924
 1 августа ,праздники украины,День инкассатора,http://www.calendarium.com.ua/den_inkassatora
 1 августа ,знаменитые украинцы,Корнил Заклинcкий (1889),http://www.calendarium.com.ua/kornil_zaklinckii_1889
 1 августа ,именины,Евгения,http://www.calendarium.com.ua/imenini_evgeniya
 2 августа ,именины,Константин,http://www.calendarium.com.ua/imenini_konstantin
 2 августа ,исторические события,"Северная Буковина, а также Хотинский, Акерманский и Измаилский уезды Бессарабии были включены в состав УССР (1940)",http://www.calendarium.com.ua/severnaya_bukovina_a_takzhe_hotinskii_akermanskii_i_izmailskii_uezdy_bessarabii_byli_vklyucheny_v_sostav_ussr_1940
 2 августа ,праздники украины,День воздушно-десантных войск,http://www.calendarium.com.ua/den_vozdushnodesantnyh_voisk
 2 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 2 августа ,именины,Юрий,http://www.calendarium.com.ua/imenini_yurii
 2 августа ,именины,Сергей,http://www.calendarium.com.ua/imenini_sergei
 2 августа ,именины,Карина,http://www.calendarium.com.ua/imenini_karina
 2 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 2 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 2 августа ,именины,Илья,http://www.calendarium.com.ua/imenini_ilya
 2 августа ,именины,Лидия,http://www.calendarium.com.ua/imenini_lidiya
 2 августа ,исторические события,Трагедия на Главпочтамте Киева (1989),http://www.calendarium.com.ua/tragediya_na_glavpochtamte_kieva_1989
 3 августа ,именины,Евгений,http://www.calendarium.com.ua/imenini_evgenii
 3 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
 3 августа ,именины,Юрий,http://www.calendarium.com.ua/imenini_yurii
 3 августа ,именины,Диана,http://www.calendarium.com.ua/imenini_diana
 3 августа ,именины,Георгий,http://www.calendarium.com.ua/imenini_georgii
 3 августа ,именины,Анна,http://www.calendarium.com.ua/imenini_anna
 3 августа ,исторические события,Советские партизаны начали «рельсовую войну» в тылу немецкой оккупации (1943),http://www.calendarium.com.ua/sovetskie_partizany_nachali_relsovuyu_voinu_v_tylu_nemetskoi_okkupatsii_1943
 3 августа ,исторические события,Ликвидация запорожского казачества,http://www.calendarium.com.ua/likvidatsiya_zaporozhskogo_kazachestva
 4 августа ,исторические события,Виктор Янукович становится Премьер-министром Украины во второй раз (2006),http://www.calendarium.com.ua/viktor_yanukovich_stanovitsya_premerministrom_ukrainy_vo_vtoroi_raz_2006
 4 августа ,знаменитые украинцы,Марья Заньковецкая (1854),http://www.calendarium.com.ua/marya_zankovetskaya_1854
 4 августа ,именины,Мария,http://www.calendarium.com.ua/imenini_mariya
 4 августа ,знаменитые украинцы,Антон Крушельницкий (1878),http://www.calendarium.com.ua/anton_krushelnitskii_1878
 4 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 4 августа ,праздники украины,День Национальной Полиции Украины,http://www.calendarium.com.ua/den_natsionalnoi_politsii_ukrainy
 4 августа ,исторические события,Основан Союз освобождения Украины во Львове (1914),http://www.calendarium.com.ua/osnovan_soyuz_osvobozhdeniya_ukrainy_vo_lvove_1914
 5 августа ,именины,Диана,http://www.calendarium.com.ua/imenini_diana
 5 августа ,именины,Станислав,http://www.calendarium.com.ua/imenini_stanislav
 5 августа ,знаменитые украинцы,Илья Репин (1844),http://www.calendarium.com.ua/ilya_repin_1844
 5 августа ,праздники украины,Международный День светофора,http://www.calendarium.com.ua/mezhdunarodnyi_den_svetofora
 5 августа ,именины,Анна,http://www.calendarium.com.ua/imenini_anna
 5 августа ,знаменитые украинцы,Борис Гмыря (1903),http://www.calendarium.com.ua/boris_gmyrya_1903
 5 августа ,знаменитые украинцы,Владимир Леонтович (1866),http://www.calendarium.com.ua/vladimir_leontovich_1866
 5 августа ,исторические события,Нестор Махно объявил о создании Революционно-повстанческой армии Украины (1919),http://www.calendarium.com.ua/nestor_mahno_obyavil_o_sozdanii_revolyutsionnopovstancheskoi_armii_ukrainy_1919
 5 августа ,именины,Виталий,http://www.calendarium.com.ua/imenini_vitalii
 5 августа ,именины,Андрей,http://www.calendarium.com.ua/imenini_andrei
 6 августа ,именины,Борис,http://www.calendarium.com.ua/imenini_boris
 6 августа ,исторические события,Cоздан легион Украинских сечевых стрельцов (1914),http://www.calendarium.com.ua/cozdan_legion_ukrainskih_sechevyh_streltsov_1914
 6 августа ,исторические события,Донецкий «Шахтер» в третий раз подряд вышел в финал Кубка СССР (1963),http://www.calendarium.com.ua/donetskii_shahter_v_tretii_raz_podryad_vyshel_v_final_kubka_sssr_1963
 6 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 6 августа ,знаменитые украинцы,Юрий Пятаков (1890),http://www.calendarium.com.ua/yurii_pyatakov_1890
 6 августа ,именины,Анатолий,http://www.calendarium.com.ua/imenini_anatolii
 7 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 7 августа ,именины,Анна,http://www.calendarium.com.ua/imenini_anna
 7 августа ,знаменитые украинцы,Пантелеймон Кулиш (1819),http://www.calendarium.com.ua/panteleimon_kulish_1819
 7 августа ,исторические события,Украинская Держава и Область Войска Донского заключили договор о границах (1918),http://www.calendarium.com.ua/ukrainskaya_derzhava_i_oblast_voiska_donskogo_zaklyuchili_dogovor_o_granitsah_1918
 7 августа ,исторические события,Принят Закон «О пяти колосках» (1932),http://www.calendarium.com.ua/prinyat_zakon_o_pyati_koloskah_1932
 7 августа ,знаменитые украинцы,Виктор Елизаров (1911),http://www.calendarium.com.ua/viktor_elizarov_1911
 7 августа ,знаменитые украинцы,Степан Бевзенко (1920),http://www.calendarium.com.ua/stepan_bevzenko_1920
 7 августа ,именины,Диана,http://www.calendarium.com.ua/imenini_diana
 8 августа ,именины,Сергей,http://www.calendarium.com.ua/imenini_sergei
 8 августа ,знаменитые украинцы,Иван Власовский (1883),http://www.calendarium.com.ua/ivan_vlasovskii_1883
 8 августа ,исторические события,СССР объявил войну Японии (1945),http://www.calendarium.com.ua/sssr_obyavil_voinu_yaponii_1945
 8 августа ,праздники украины,День войск связи Украины,http://www.calendarium.com.ua/den_voisk_svyazi_ukrainy
 8 августа ,знаменитые украинцы,Александр Гай (1914),http://www.calendarium.com.ua/aleksandr_gai_1914
 8 августа ,исторические события,Начался вывод советских войск из Афганистана (1985),http://www.calendarium.com.ua/nachalsya_vyvod_sovetskih_voisk_iz_afganistana_1985
 8 августа ,праздники украины,Международный День альпиниста,http://www.calendarium.com.ua/mezhdunarodnyi_den_alpinista
 9 августа ,именины,Константин,http://www.calendarium.com.ua/imenini_konstantin
 9 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 9 августа ,исторические события,Отмена крепостного права на Буковине (1848),http://www.calendarium.com.ua/otmena_krepostnogo_prava_na_bukovine_1848
 9 августа ,праздники украины,Еждународный День коренных народов мира,http://www.calendarium.com.ua/ezhdunarodnyi_den_korennyh_narodov_mira
 9 августа ,исторические события,РКП(б) приказало удерживать Киев и Одессу до последней капли крови (1919),http://www.calendarium.com.ua/rkpb_prikazalo_uderzhivat_kiev_i_odessu_do_poslednei_kapli_krovi_1919
 9 августа ,именины,Платон,http://www.calendarium.com.ua/imenini_platon
 9 августа ,знаменитые украинцы,Михаил Ивченко (1890),http://www.calendarium.com.ua/mihail_ivchenko_1890
 9 августа ,знаменитые украинцы,Богдан Заклинский (1886),http://www.calendarium.com.ua/bogdan_zaklinskii_1886
 10 августа ,именины,Елена,http://www.calendarium.com.ua/imenini_elena
 10 августа ,именины,Сергей,http://www.calendarium.com.ua/imenini_sergei
 10 августа ,дни городов украины,День Вышгорода,http://www.calendarium.com.ua/den_vyshgoroda
 10 августа ,знаменитые украинцы,Антон Лосенко (1737),http://www.calendarium.com.ua/anton_losenko_1737
 10 августа ,знаменитые украинцы,Роман Лубкивский (1941),http://www.calendarium.com.ua/roman_lubkivskii_1941
 10 августа ,именины,Павел,http://www.calendarium.com.ua/imenini_pavel
 10 августа ,именины,Арина,http://www.calendarium.com.ua/imenini_arina
 10 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 10 августа ,именины,Ирина,http://www.calendarium.com.ua/imenini_irina
 10 августа ,исторические события,Завершился чемпионат мира по легкой атлетике в Афинах (1997),http://www.calendarium.com.ua/zavershilsya_chempionat_mira_po_legkoi_atletike_v_afinah_1997
 10 августа ,знаменитые украинцы,Вадим Соснихин (1942),http://www.calendarium.com.ua/vadim_sosnihin_1942
 10 августа ,дни городов украины,День Ялты,http://www.calendarium.com.ua/den_yalty
 10 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 11 августа ,именины,Михаил,http://www.calendarium.com.ua/imenini_mihail
 11 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 11 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 11 августа ,именины,Анатолий,http://www.calendarium.com.ua/imenini_anatolii
 11 августа ,именины,Константин,http://www.calendarium.com.ua/imenini_konstantin
 11 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 11 августа ,знаменитые украинцы,Александр Шульгин (1889),http://www.calendarium.com.ua/aleksandr_shulgin_1889
 11 августа ,исторические события,Украинские миротворческие войска введены в Ирак (2003),http://www.calendarium.com.ua/ukrainskie_mirotvorcheskie_voiska_vvedeny_v_irak_2003
 11 августа ,исторические события,Пленум Верховного суда УССР реабилитировал осужденных по делу Союза освобождения Украины (1989),http://www.calendarium.com.ua/plenum_verhovnogo_suda_ussr_reabilitiroval_osuzhdennyh_po_delu_soyuza_osvobozhdeniya_ukrainy_1989
 11 августа ,праздники украины,День работников строительной отрасли,http://www.calendarium.com.ua/den_rabotnikov_stroitelnoi_otrasli
 11 августа ,праздники украины,День работников ветеринарной медицины,http://www.calendarium.com.ua/den_rabotnikov_veterinarnoi_meditsiny
 12 августа ,именины,Валентин,http://www.calendarium.com.ua/imenini_valentin
 12 августа ,именины,Максим,http://www.calendarium.com.ua/imenini_maksim
 12 августа ,знаменитые украинцы,Олимпия Добровольская (1895),http://www.calendarium.com.ua/olimpiya_dobrovolskaya_1895
 12 августа ,знаменитые украинцы,Владимир Поляченко (1938),http://www.calendarium.com.ua/vladimir_polyachenko_1938
